old value	new value
Ferd. Mueller	F. Von Mueller
Ferd. Von Müeller	F. Von Mueller
Dr. F. Müller	F. von Muller
Dr. F. von Muller	F. von Muller
F. W. Anderson	F. W. Anderson
F. W. Dewart	F. W. Dewart
F. W. Foxworthy	F. W. Foxworthy
F. W. Hooper	F. W. Hooper
F. W. Rapp	F. W. Rapp
F. Wachter	F. Wachter
F. Welwitsch	F. Welwitsch
F. Werner	F. Werner
F. Wolle	F. Wolle
Fr. Wolle	F. Wolle
F. Ziesenhenne	F. Ziesenhenne
Fa Me Clure	Fa Me Clure
Fabio Patino	Fabio Patino
Fabio Patiño	Fabio Patino
Faculty of Science, Hokkaido University	Faculty of Science, Hokkaido University
Dr. Farlow	Farlow
Farlow	Farlow
Fay K. Daily	Fay K. Daily
Fay K. Daily, W. A. Daily	Fay K. Daily, W. A. Daily
Fehlmann	Fehlmann
Fehlmann, Menez	Fehlmann, Menez
Feldman	Feldman
Feldmann	Feldman
Captain Felix.	Felix
Dr. Ferd. Cohn	Ferd. Cohn.
Ferd. Cohn.	Ferd. Cohn.
Ferd. Filarszky	Ferd. Cohn.
Ferdinand Mueller	Ferdinand Von Mueller
Ferguson	Ferguson
Février	Fevrier
Filmer	Filmer
Fiorini	Fiorini
Fischer	Fischer
Fisheries-Museum Exped.	Fisheries-Museum Exped.
Flake, Eiseman	Flake, Eiseman
Fleischer	Fleischer
Fleisoher	Fleischer
Florence Perrin	Florence Perrin
Mrs. F. Perrin	Florence Perrin
Mrs. Florence Perrin	Florence Perrin
Flotow	Flotow
Floyd E. Durham	Floyd E. Durham
Forsskål	Forsskal
Fortunato L. Herrera	Fortunato L. Herrera
Fott	Fott
Fr. Holl.	Fr. Holl.
Frances Holtzwart	Frances Holtzwart
Francis Drouet	Francis Drouet
Francis Drouet, A. J. Bajkov	Francis Drouet, A. J. Bajkov
Francis Drouet, A. A., E. Cohen	Francis Drouet, Aaron A. Cohen, Elizabeth Cohen
Francis Drouet, Aaron A. Cohen, Elizabeth Cohen	Francis Drouet, Aaron A. Cohen, Elizabeth Cohen
Francis Drouet and Aaron Cohen	Francis Drouet, Aaron Cohen
Francis Drouet, Charles Hodge	Francis Drouet, Charles Hodge
Francis Drouet, Chester S. Nielsen	Francis Drouet, Chester S. Nielsen
Francis Drouet, Chester S. Nielson	Francis Drouet, Chester S. Nielsen
Francis Drouet, Chester S. Nielsen, Grace Madsen, Dorothy Crowson	Francis Drouet, Chester S. Nielsen, Grace Madsen, Dorothy Crowson
Francis Drouet, D. Richards	Francis Drouet, Donald Richards
Francis Drouet, Donald Richards	Francis Drouet, Donald Richards
Francis Drouet, Richards	Francis Drouet, Donald Richards
Francis Drouet, Donald Richards, Joseph Rubinstein	Francis Drouet, Donald Richards, Joseph Rubinstein
Francis Drouet, Donald Richards and L. D. Alvarado	Francis Drouet, Donald Richards, L. D. Alvarado
Francis Drouet, Donald Richards, and L. D. Alvarado	Francis Drouet, Donald Richards, L. D. Alvarado
Francis Drouet, Donald Richards and W. A. Lockhart	Francis Drouet, Donald Richards, W. A. Lockhart
Francis Drouet, Donald Richards and W.A. Lockhart	Francis Drouet, Donald Richards, W. A. Lockhart
Francis Drouet, Donald Richards, and W. A. Lockhart	Francis Drouet, Donald Richards, W. A. Lockhart
Francis Drouet, Donald Richards, W. A. Lockhart	Francis Drouet, Donald Richards, W. A. Lockhart
Francis Drouet, Dorothy Crowson, Mary Livingston	Francis Drouet, Dorothy Crowson, Mary Livingston
Francis Drouet, Dorothy Crowson and Raymond Thorton	Francis Drouet, Dorothy Crowson, Raymond Thorton
Francis Drouet, Dorothy Crowson, and Raymond Thornton	Francis Drouet, Dorothy Crowson, Raymond Thorton
Francis Drouet, Elizabeth Cohen	Francis Drouet, Elizabeth Cohen
Francis Drouet, Ellsworth P. Killip	Francis Drouet, Ellsworth P. Killip
Francis Drouet, E. P. Killip and Donald Richards	Francis Drouet, Ellsworth P. Killip, Donald Richards
Francis Drouet, E.P. Killip and Donald Richards	Francis Drouet, Ellsworth P. Killip, Donald Richards
Francis Drouet, Ellsworth P. Killip, D. Richards	Francis Drouet, Ellsworth P. Killip, Donald Richards
Francis Drouet, Grace Madsen, Dorothy Crowson	Francis Drouet, Grace Madsen, Dorothy Crowson
Francis Drouet, H. B. Louderback	Francis Drouet, H. B. Louderback
Francis Drouet, H. K. Phinney	Francis Drouet, H. K. Phinney
Francis Drouet and Harold B. Louderback	Francis Drouet, Harold B. Louderback
Francis Drouet, Harold B. Louderback	Francis Drouet, Harold B. Louderback
Francis Drouet, Harold Bold, Joseph Rubinstein	Francis Drouet, Harold Bold, Joseph Rubinstein
Francis Drouet, Herman Kurz, Chester S. Nielsen	Francis Drouet, Herman Kurz, Chester S. Nielsen
Francis Drouet, Herman Kutz, Chester S. Nielsen	Francis Drouet, Herman Kurz, Chester S. Nielsen
Francis Drouet, Lewis H. Flint	Francis Drouet, Lewis H. Flint
Francis Drouet, Melvin A. Brannon, Don McKay	Francis Drouet, Melvin A. Brannon, Don McKay
Francis Drouet, Petcy Viosca, Jr.	Francis Drouet, Petcy Viosca Jr.
Francis Drouet, Philip W. Wolle	Francis Drouet, Philip W. Wolle
Francis Drouet, R. Patrick, C. Hodge	Francis Drouet, R. Patrick, C. Hodge
Francis Drouet, Richard H. Hevly	Francis Drouet, Richard H. Hevly
Francis Drouet, Ruth Patrick, Charles Hodge	Francis Drouet, Ruth Patrick, Charles Hodge
Francis Drouet, Ruth Patrick, H. B. Louderback	Francis Drouet, Ruth Patrick, Harold B. Louderback
Francis Drouet, Ruth Patrick, H.B. Louderback	Francis Drouet, Ruth Patrick, Harold B. Louderback
Francis E. Lloyd	Francis E. Lloyd
Francis L. Dutton	Francis L. Dutton
Francis Wolle	Francis Wolle
Francisco F. Pedroche, Cynttia Rangel, Jorge Gonzalez Gonzalez	Francisco F. Pedroche, Cynttia Rangel, Jorge Gonzalez Gonzalez
Francisco Pagan	Francisco Pagan
Frank C. Seymour	Frank C. Seymour
Frank C. Seymour, Richard J. Eaton	Frank C. Seymour, Richard J. Eaton
Frank H. Rose	Frank H. Rose
Frank L. Howard	Frank L. Howard
Frank Collins	Frank S. Collins
Frank S. Collines	Frank S. Collins
Frank S. Collins	Frank S. Collins
Franklyn D. Ott	Franklyn D. Ott
Franz B. Liechtenstern	Franz Baron Liechtenstern
Franz Baron Liechtenstern	Franz Baron Liechtenstern
Frau E. Ronniger	Frau E. Ronniger
Frau R. Ebersbach	Frau R. Ebersbach
Fred A. Barkley	Fred A. Barkley
Fred A. Barkley, Gordon Castle	Fred A. Barkley, Gordon Castle
Fred A. Barkley, Stanley Ames	Fred A. Barkley, Stanley Ames
Fred Anderson	Fred Anderson
Fred Lesile	Fred Leslie
Fred Lesile, Minnie Reed	Fred Leslie, Minnie Reed
Fred Leslie, Minnie Reed	Fred Leslie, Minnie Reed
Freddy Zúñiga Varillasl	Freddy Zuniga Varillasl
Fridericus Traugott Kutzing	Fridericus Traugott Kutzing
Fries	Fries
Frithjof Kupper	Frithjof Kupper
Frithjof Küpper	Frithjof Kupper
Frits Johansen	Frits Johansen
Frölich	Frolich
Rev. Frossard	Frossard
Fu-Wen Chien	Fu-Wen Chien
Funck	Funck
Funok	Funck
G. A. C	G. A. C.
G. A. C. Herklots	G. A. C. Herklots
G. A. C. Herklots, fishermen of Shankiwan	G. A. C. Herklots, fishermen of Shankiwan
G. A. Hall	G. A. Hall
Dr. G. A. C. Herklots	G. A. Herklots
Dr. G. A. Herklots	G. A. Herklots
G A:n Malme	G. A. Malme
G. A:n Malme	G. A. Malme
G. Alcasid	G. Alcasid
G. Arcangeli	G. Arcangeli
Bro. G. Arsène	G. Arsene
G. Arsène	G. Arsene
G. B.	G. B.
G. B. de Toni	G. B. De Toni
G. B. de Toni, D. Levi	G. B. De Toni, David Levi
G. B. De Toni, David Levi	G. B. De Toni, David Levi
G. B. Rigg	G. B. Rigg
G. B. Riggs	G. B. Rigg
Geo B. Rigg	G. B. Rigg
Geo. B. Rigg	G. B. Rigg
G. B. Rigg, R. F. Griggs	G. B. Rigg, R. F. Griggs
G. Baardseth	G. Baardseth
G. Baarsdeth	G. Baardseth
G. Bakus	G. Bakus
G. Beck	G. Beck
G. Bockus	G. Bockus
G. C. B.	G. C. B.
G. C. Madsen	G. C. Madsen
G. C. Nel, A. V. Duthie	G. C. Nel, A. V. Duthie
G. D. Bornan	G. D. Borman
G. D. Borman, A. V. Duthie	G. D. Borman, A. V. Duthie
G. D. Westendorp	G. D. Westendorp
G. D. Westendorp, A. C. F. Wallays	G. D. Westendorp, A. C. F. Wallays
G. D. Westendorp, A. C. R. Wallays	G. D. Westendorp, A. C. F. Wallays
G. D. Westendrop	G. D. Westendrop
G. de Beck	G. de Beck
G. de Istvánffi	G. de Istvanffi
G. de Moesz	G. de Moesz
G. De Notaris	G. De Notaris
G. De Robiani	G. De Robiani
G. E.	G. E.
G. E. du Plessis	G. E. du Plessis
G. E. DuPlessius	G. E. du Plessis
G. E. Parrier	G. E. Perrin
G. E. Perrin	G. E. Perrin
G. E. Stone	G. E. Stone
Geo. E. Stone	G. E. Stone
G. Edano	G. Edano
G. Edaño	G. Edano
G. Elmquist	G. Elmquist
G. F. Atkinson	G. F. Atkinson
G. F. Atkisson	G. F. Atkinson
G. F. Atkuison	G. F. Atkinson
Geo. F. Atkinson	G. F. Atkinson
G. F. Gaumer	G. F. Gaumer
G. F. Papenfuss	G. F. Papenfuss
G. F. Pepenfuss	G. F. Papenfuss
G.F. Papenfuss	G. F. Papenfuss
Port Edward	G. F. Papenfuss
G. F. Papenfuss, A. D. Conger	G. F. Papenfuss, A. D. Conger
G. F. Papenfuss, G. F. Papenfuss	G. F. Papenfuss, G. F. Papenfuss
G. F. Papenfuss, I. Friedmann	G. F. Papenfuss, I. Friedmann
G. F. Papenfuss, M. A. Pocock	G. F. Papenfuss, M. A. Pocock
G. F. Papenfuss, Nero Kawahara	G. F. Papenfuss, Nero Kawahara
G. F. Papenfuss, P. C. Silva	G. F. Papenfuss, P. C. Silva
G. F. Papenfuss, R. Evans	G. F. Papenfuss, R. Evans
G. F. Papenfuss and R. F. Scagel	G. F. Papenfuss, R. F. Scagel
G. F. Papenfuss and R. F. Scagel, R. F. Scagel	G. F. Papenfuss, R. F. Scagel
G. F. Papenfuss, R. F. Scagel	G. F. Papenfuss, R. F. Scagel
G. F. Papenfuss, R.F. Scagel	G. F. Papenfuss, R. F. Scagel
Port Edward, R. F. Scagel	G. F. Papenfuss, R. F. Scagel
G. F. Papenfuss, Y. M Chiang	G. F. Papenfuss, Y. M. Chiang
G. F. Papenfuss, Y. M. Chiang	G. F. Papenfuss, Y. M. Chiang
G. F. Papenfuss, Y. M. Chiang.	G. F. Papenfuss, Y. M. Chiang
G. F. Papenfuss, Y.& M. Chiang	G. F. Papenfuss, Y. M. Chiang
G. F. Velasquez	G. F. Velasquez
G. F. Weber	G. F. Weber
G. Feldman	G. Feldmann
G. Feldmann	G. Feldmann
G. Frefenius	G. Frefenius
G. G. Smith	G. G. Smith
G. Gilmore	G. Gilmore
G. Gtizenberger	G. Gtizenberger
G. H. Hicks	G. H. Hicks
G. Haas	G. Haas
G. Hamel	G. Hamel
G. Hamel and A. Hamel-Joukov	G. Hamel, A. Hamel-Joukov
G. Hamel, A. Hamel	G. Hamel, A. Hamel-Joukov
G. Hamel, A. Hamel-Joukov	G. Hamel, A. Hamel-Joukov
G. Hatschbach	G. Hatschbach
Guil. Herter	G. Herter
Dr. G. Hieronymus	G. Hieronymus
G. Hieronymus	G. Hieronymus
G. Israelsson and M. Waern	G. Israelsson, M. Waern
G. J. Blanco	G. J. Blanco
G. J. Hollenberg	G. J. Hollenberg
G. J. Vives	G. J. Vives
G. Jermy	G. Jermy
G. K. Thomson	G. K. Thomson
G. Kjellberg	G. Kjellberg
G. Kraft	G. Kraft
G. Kraft, C. O'Brien	G. Kraft, C. O'Brien
G. Kraft, J. Huisman	G. Kraft, J. Huisman
G. Kraft, J. Lewis	G. Kraft, J. Lewis
G. Kraft, P. Gabrielson	G. Kraft, P. Gabrielson
G. Kraft, R. Ricker	G. Kraft, R. Ricker
G. L. Alcasid	G. L. Alcasid
Geo L. Fisher	G. L. Fisher
G. Lagerh	G. Lagerheim
G. Lagerheim	G. Lagerheim
G. M.	G. M.
G. M. Lokhorst	G. M. Lokhorst
G. M. Sjöstrand	G. M. Sjostrand
G. M. Smith	G. M. Smith
G. M. Smith, L. R. Blinks	G. M. Smith, L. R. Blinks
G. M. v. Niekerk	G. M. van Niekerk
G. M. van Niekerk	G. M. van Niekerk
G. N. v. Niekerk	G. M. van Niekerk
G. van Nieheck	G. M. van Niekerk
M. V. Niekerk	G. M. van Niekerk
G. M. v. Niekerk, A. V. Duthie	G. M. van Niekerk, A. V. Duthie
G. M. van Niekerk, A. V. Duthie	G. M. van Niekerk, A. V. Duthie
G. van Nieheck, A. V. Duthie	G. M. van Niekerk, A. V. Duthie
G. M. Weber	G. M. Weber
G. MacRaild	G. MacRaild
G. Malme	G. Malme
G. Malne	G. Malme
Geo Martyn	G. Martyn
Geo. Martyn	G. Martyn
G. Mazoyer	G. Mazoyer
G. Moyoyer	G. Mazoyer
G. Mozoyer	G. Mazoyer
G. Mettenius	G. Mettenius
G. Moesz	G. Moesz
G. Morin	G. Morin
G. O. Malme	G. O. Malme
G. O. O.	G. O. O.
G. P Aucheior	G. P. Aucheior
G. Passerini	G. Passerini
G. & F. Perrin	G. Perrin
G. R. South	G. R. South
G. Robin Smith	G. Robin South
G. Robin South	G. Robin South
G. Robin South, J. Lynch	G. Robin South, J. Lynch
G. Robin South, J. Payne	G. Robin South, J. Payne
G. Ronniger	G. Ronniger
G. S. Smith	G. S. Smith
G. S. West	G. S. West
G. Sanhueza	G. Sanhueza
G. Scholz	G. Scholz
G. Stizenberger	G. Stizenberger
G. Sydow	G. Sydow
G. T. Kraft, R. Ricker	G. T. Kraft, R. Ricker
G. T. Moore	G. T. Moore
G. T. Moore, Jr.	G. T. Moore Jr.
G. T. Shigeura	G. T. Shigeura
G. T. Velasquez	G. T. Velasquez
G. T. Velsquez	G. T. Velasquez
G. T. Velasquez, Drauel	G. T. Velasquez, Drauel
G. Thuret	G. Thuret
G. Tiselius	G. Tiselius
G. Tripodi	G. Tripodi
G. V. deVries	G. V. de Vries
G. V. deVries, A. V. Duthie	G. V. de Vries, A. V. Duthie
G. v. Istvanffi	G. V. Istvanffi
G. v. Martens	G. V. Martens
G. V. Merat	G. V. Merat
G. V. Wyle, A. V. Duthie	G. V. Wyle, A. V. Duthie
G. W. Clinton	G. W. Clinton
G. W. Lichtenthaler	G. W. Lichtenthaler
Geo. W. Perry	G. W. Perry
G. W. Prescott	G. W. Prescott
G. W .Traill	G. W. Traill
G. W. Traill	G. W. Traill
G. Weidemann	G. Weidemann
G. Winter	G. Winter
G. Zeller	G. Zeller
Galen Smith	Galen Smith
Gandager	Gandager
Gaūmer	Gaumer
Dr. Gauter	Gauter
Gay Keplinger	Gay Keplinger
Ged.	Ged.
Gel	Ged.
Gene Lilley	Gene Lilley
Gennari	Gennari
George Engelmann	George Engelmann
George F. Atkinson	George F. Atkinson
George F. Papenfuss	George F. Papenfuss
George H. Giles	George H. Giles
George H. Shull	George H. Shull
George Haley	George Haley
George N. Neill	George N. Neill
George Peranian	George Piranian
George Piranian	George Piranian
George R. Cooley	George R. Cooley
George R. Practor	George R. Practor
Gerald Bakus	Gerald Bakus
Gerloft	Gerloft
German Klay	German Klay
Gerrit P. Wilder	Gerrit P. Wilder
Giacomo Tripodi	Giacomo Tripodi
Gilbert M. Smith	Gilbert M. Smith
Giles W. Mead	Giles W. Meade
Giles W. Meade, Tony Ferriera, Parry Mead	Giles W. Meade, Tony Ferriera, Parry Mead
Gollmer	Gollmer
Gonzales	Gonzales
González	Gonzales
Gosier	Gosier
Gosta R. Cedergren	Gosta R. Cedergren
Gösta R. Cedergren	Gosta R. Cedergren
Goughl	Goughl
Graciela N. Casas	Graciela N. Casas
Gratama	Gratama
Dr. Greffes	Greffes
Greg Smith	Greg Smith
Georgorio T. Velasquez	Gregorio T. Velasquez
Gregorio T. Velasquez	Gregorio T. Velasquez
Gregorio T. Velasquez, Alejandro Santiago, William J. Gilbert	Gregorio T. Velasquez, Alejandro Santiago, William J. Gilbert
Gregorson	Gregorson
Herb Grevielle	Grevielle
Greville	Greville
Griffiths	Griffiths
Grimm	Grimm
Grubilsich	Grubilsich
Grubissich	Grubilsich
Grunow	Grunow
Guichard	Guichard
Günther Beck	Gunther Beck
Gustav Eisen	Gustav Eisen
Gustav Jermy	Gustav Jermy
Cutierrez	Gutierrez
Guiterrez	Gutierrez
Gutierrez	Gutierrez
Gutierrez and Espiritu	Gutierrez, Espiritu
Gutierrez and Espiritu, Espiritu	Gutierrez, Espiritu
Gutierrez, Espiritu	Gutierrez, Espiritu
H. A. Green	H. A. Green
H. A. Greens	H. A. Green
H. A. Hime	H. A. Hime
H. A. Pedicino	H. A. Pedicino
H. Ashby	H. Ashby
H. Averill	H. Averill
H. B. J.	H. B. J.
H. B. S Womersley	H. B. S. Womersley
H. B. S. Womerlsey	H. B. S. Womersley
H. B. S. Womersley	H. B. S. Womersley
H. B. S. Wormersley	H. B. S. Womersley
H. B. S.Womersley	H. B. S. Womersley
H. B. Womersley	H. B. S. Womersley
H. B. S Womersley, A. Bailey	H. B. S. Womersley, A. Bailey
H. B. S. Womersley and A. Bailey	H. B. S. Womersley, A. Bailey
H. B. S. Womersley and A. Bailey, A. Bailey	H. B. S. Womersley, A. Bailey
H. B. S. Womersley, A. Bailey	H. B. S. Womersley, A. Bailey
H. B. S. Womersley, A. Bailyey	H. B. S. Womersley, A. Bailey
H. B. S. Womersley, M. J. Parsons	H. B. S. Womersley, M. J. Parsons
H. B. S. Womersley, M. McElvey	H. B. S. Womersley, M. McElvey
H. B. S. Womersley, R. D. Wood	H. B. S. Womersley, R. D. Wood
H. B. Seymour	H. B. Seymour
H. Backer	H. Backer
Dr. H. Becker	H. Becker
H. Becker	H. Becker
H. Berker	H. Berker
H. Bishop	H. Bishop
H. Brattstöm	H. Brattstroom
H. Brattstrom	H. Brattstroom
H. Brattström	H. Brattstroom
H. Brattstroöm	H. Brattstroom
H. Breidahl	H. Breidahl
H. C. Banks	H. C. Banks
H. C. Benke	H. C. Benke
H. Chaney	H. Chaney
H. Chaney, H. Chaney	H. Chaney
H. Croasdale	H. Croasdale
H. D. Johnston	H. D. Johnston
H. E. Brown	H. E. Brown
H. E. Hackett	H. E. Hackett
H. E. Parks	H. E. Parks
H. E. Parls	H. E. Parks
H.E. Parks	H. E. Parks
H. E. Parks, S. T. Parks	H. E. Parks, S. T. Parks
H. E. Stork	H. E. Stork
H. E. Stork, O. B. Horton	H. E. Stork, O. B. Horton
Hno. Elias	H. Elias
H. F.	H. F.
H. F. G. Stromfelt	H. F. G. Stromfelt
H. F. G. Strömfelt	H. F. G. Stromfelt
H. Fisher	H. Fisher
H. Forbes	H. Forbes
H. Forbes, A. V. Duthie	H. Forbes, A. V. Duthie
H. Frings	H. Frings
Hub. Funek	H. Funek
H. G. Gutierrez	H. G. Gutierrez
H. G. Guttierrez	H. G. Gutierrez
H. G. Simmons	H. G. Simmons
Herm. G. Simmons	H. G. Simmons
H. G. v.d. weij	H. G. V. D. Weij
H. G. von Schonfeldt	H. G. von Schonfeldt
H. Gackson	H. Gackson
H. Gail	H. Gail
H. Gluck	H. Gluck
H. Glück	H. Gluck
H. Glüek	H. Gluck
H. Groves	H. Groves
H. H. Allan	H. H. Allan
H. H. Barlett	H. H. Bartlett
H. H. Bartlet	H. H. Bartlett
H. H. Bartlett	H. H. Bartlett
H. H. Chung	H. H. Chung
H. H. Chung]	H. H. Chung
H.H. Chung	H. H. Chung
H. H. Donaldson	H. H. Donaldson
H. H. Field	H. H. Field
H. H. Iltis	H. H. Iltis
H. H. Pickmore	H. H. Pickmore
H. H. York	H. H. York
H. Hallier	H. Hallier
H. Hanna	H. Hanna
H. Harvey	H. Harvey
H. Heiden	H. Heiden
H. Humm	H. Humm
H. Ito	H. Itono
H. Itono	H. Itono
H. J. A. Hus.	H. J. A. H.
H. J. Fortner	H. J. Fortner
H. J. H.	H. J. H.
H. J. Humm	H. J. Humm
H.J. Humm	H. J. Humm
H. Jonsson	H. Jonsson
H. Jónsson	H. Jonsson
H. K. Phinney	H. K. Phinney
H. K'	H. K. Phinney
H. K. Phinney, H. C. Yingling, Grace E. Scharf	H. K. Phinney, H. C. Yingling, Grace E. Scharf
H. Kawai, S. Kawaguchi, T. Hanyuda, S. Shimada, M. Uchimura, T. Kitayama	H. Kawai, S. Kawaguchi, T. Hanyuda, S. Shimada, M. Uchimura, T. Kitayama
H. Kirkman	H. Kirkman
H. Kleerekoper	H. Kleerekoper
Herm. Kleerekoper	H. Kleerekoper
H. Klerck	H. Klerck
H. Klerek	H. Klerck
H. kylin	H. Kylin
H. L. Clark	H. L. Clark
H. L. Mason	H. L. Mason
H. R. Mason	H. L. Mason
H.L. Mason	H. L. Mason
H. Lassen	H. Lassen
H. Leonhardt	H. Leonhardt
H. Lydon	H. Lydon
H. M. Bryant	H. M. Bryant
H. M Burkill	H. M. Burkill
H. M. Burkhill	H. M. Burkill
H. M. Burkill	H. M. Burkill
H.M. Burkill	H. M. Burkill
H. M. Curian	H. M. Curran
H. M. Curran	H. M. Curran
H. M. L. Rayment	H. M. L. Rayment
Miss H. M. L. Rayment	H. M. L. Rayment
H. M. Morison, A. V. Duthie	H. M. Morison, A. V. Duthie
H. M. P	H. M. P.
H. M. P.	H. M. P.
H. M. Rchards	H. M. Richards
H. M. Richards	H. M. Richards
H. Malo	H. Malo
H. McAllister, O. Bourgium	H. McAllister, O. Bourgium
H. N. Chou	H. N. Chou
H. N. Moseley	H. N. Moseley
H. N. Stewart	H. N. Stewart
H. N. Yang	H. N. Yang
H. P Calumpong	H. P. Calumpong
H. P. Calumpong	H. P. Calumpong
H. Pittier	H. Pittier
H. Printz	H. Printz
H. R. Bolander	H. R. Bolander
H. Reichelt	H. Reichelt
H. Royers	H. Royers
H. S. Kellogg	H. S. Kellogg
H. S. Villaflores	H. S. Villaflores
H. S. Yates	H. S. Yates
H. Sandkuhl	H. Sandkuhl
H. Schinz	H. Schinz
H. Schrader	H. Schrader
H. Simmons	H. Simmons
H. Skuja	H. Skuja
H. Stadin	H. Stadion
H. Stadion	H. Stadion
H. Stadin, A. V. Duthie	H. Stadion, A. V. Duthie
H. Stadion, A. V. Duthie	H. Stadion, A. V. Duthie
H. Steudner	H. Steudner
Hj. Stolpe	H. Stolpe
H. Syphus	H. Syplues
H. Syplues, A. V. Duthie	H. Syplues, A. V. Duthie
H. T. Croadale	H. T. Croasdale
H. T. Croasdale	H. T. Croasdale
H. T. Crosdale	H. T. Croasdale
H. T. Crossdale	H. T. Croasdale
H. T. Tisdall	H. T. Tisdall
H.T. Velasquez	H. T. Velasquez
H. Tanaka	H. Tanaka
H. v. d. Mewe	H. v. d. Mewe
H. W.	H. W.
H. W. Clark	H. W. Clark
H. W. Clark and B. W. Evermann	H. W. Clark, B. W. Evermann
H. W. Clark, B. W. Evermann	H. W. Clark, B. W. Evermann
H. W. Edmonds	H. W. Edmonds
H. W. Johansen	H. W. Johansen
H. W. R.	H. W. R.
H. W. Ravenel	H. W. Ravenel
Dr. H. W. Reichardt	H. W. Reichardt
H.W. Reichardt	H. W. Reichardt
H. Webrandt	H. Webranth
H. Webranth	H. Webranth
H. Wild	H. Wild
H. Zinova, A. Zinova	H. Zinova, A. Zinova
Häcker	Hacker
Hadfield	Hadfield
Halen Blackler	Halen Blackler
Hall	Hall
Hall, Eiseman	Hall, Eiseman
Halle	Halle
Halz	Halz
Hancock Exped.	Hancock Exped.
Hancock Exped. Station	Hancock Exped.
Remple Hancock Expedition Station	Hancock Expedition
Hannah Croasdale	Hannah Croasdale
Hans Black	Hans Black
Hans van Tilburg	Hans Van Tilburg
Hansen	Hansen
Hansgirg	Hansgirg
Harald Kylin	Harald Kylin
Harald Kyllin	Harald Kylin
Harold B. Louderback	Harold B. Louderback
Harold B Louderback and Francis Drouet	Harold B. Louderback, Francis Drouet
Harold B. Louderback and Francis Drouet	Harold B. Louderback, Francis Drouet
Harold B. Louderback, Francis Drouet	Harold B. Louderback, Francis Drouet
Harold J. Humm	Harold J. Humm
Harold J. Humm & Sylvia Earle Taylor	Harold J. Humm, Sylvia Earle Taylor
Harold Kylin	Harold Kylin
Harold Kylinq	Harold Kylin
Harper, Burke and Thomas	Harper, Burke, Thomas
Harper, Thomas	Harper, Thomas
Harry K. Phinney	Harry K. Phinney
Harry K. Phinney and Francis Drouet	Harry K. Phinney, Francis Drouet
Harry K. Phinney, Francis Drouet	Harry K. Phinney, Francis Drouet
Dr. Harvey	Harvey
Harvey	Harvey
Harvey L. Bauer	Harvey L. Bauer
Harvey Thos. Tisdall	Harvey T. Tisdall
Hassler Expedition	Hassler Expedition
Haswell	Haswell
Haccok	Hauck
Hauch	Hauck
Hauck	Hauck
Herb Hauck	Hauck
Hauck, Lichtenstern	Hauck, Lichtenstern
Hausmann	Hausmann
Dr. Hayden	Hayden
Hazslinszky	Hazslinszky
Heather J. Fortner	Heather J. Fortner
Heep	Heep
Dr. Heine	Heine
Helen Blacker	Helen Blacker
Helgi Jonsson	Helgi Jonsson
Helgi Jónsson	Helgi Jonsson
Helmert	Helmert
Henderson	Henderson
Henderson and Bertsch	Henderson, Bertsch
Henderson and Bertsch, Bertsch	Henderson, Bertsch
Henderson, Bartsch	Henderson, Bertsch
Henderson, Bertsch	Henderson, Bertsch
Henry C. Cowles	Henry C. Cowles
Henry Field	Henry Field
Henry Hildebrand	Henry Hildebrand
Bosun Henry Murranka	Henry Murranka
Henr. Rosander.	Henry Rosander
Henry T. Tisdale	Henry T. Tisdale
Henry Tilden	Henry Tilden
Hepp	Hepp
Herber Habeeb	Herbert Habeeb
herbert Habeeb	Herbert Habeeb
Herbert Hebeeb	Herbert Habeeb
Herbert Habeeb, Robert Kirkpatrick	Herbert Habeeb, Robert Kirkpatrick
Herbert Hebeeb, Robert Kirkpatrick	Herbert Habeeb, Robert Kirkpatrick
Herbert Hand	Herbert Hand
Herbert L. Mason	Herbert L. Mason
Herbert M. Richards	Herbert M. Richards
Herbert T. Dalmat	Herbert T. Dalmat
Dr. Herklots	Herklots
Herman Knoche	Herman Knoche
Herms, Kirby	Herms, Kirby
Herter	Herter
Heufler	Heufler
Hideo Ohba	Hideo Ohba
Hilary M. L. Rayment	Hilary M. L. Rayment
Hilda Parkes	Hilda Parkes
Hildebrand	Hildebrandt
Hildebrandt	Hildebrandt
Hiffe	Hilfe
Hifle	Hilfe
Hilfe	Hilfe
Hilse	Hilfe
Hintz, F. Pfeiffer de Wellheim	Hintz, F. Pfeiffer de Wellheim
Hiuga	Hiuga
Hjalmar Möffer	Hjalmar Moller
Hjalmar Möller	Hjalmar Moller
Hoefle	Hoefle
Hoeme	Hoeme
Hofer	Hofer
Höfer	Hofer
Hohenack	Hohenack
Hohenack and Meeralgen	Hohenack, Meeralgen
Hohenack Meeralgen	Hohenack, Meeralgen
Hohenack Muralgen	Hohenack, Meeralgen
Hohenack, Meeralgen	Hohenack, Meeralgen
Hohenack. Meeralgen.	Hohenack, Meeralgen
Holl	Holl
Holmes	Holmes
Holms	Holmes
Holtz	Holtz
Hone and Tilden	Hone, Tilden
Hooker	Hooker
Horsford	Horsford
Howell	Howell
Hubbs	Hubbs
Hubbs, Johnson and Allanson	Hubbs, Johnson and Allanson
Hubbs, Stover & Baldwin	Hubbs, Stover and Baldwin
Hubner	Hubner
Hübner	Hubner
Hugh H. Iltis, Grace Iltis	Hugh H. Iltis, Grace Iltis
