old value	new value
Arthur Nash	Arthur Nash
Authur Nash	Arthur Nash
Arthur Nash, M. H. Jones	Arthur Nash, M. H. Jones
Arthur & Violet K. Nash	Arthur Nash, Violet K. Nash
Arthur and Violet K. Nash	Arthur Nash, Violet K. Nash
Arthur Nash, Violet K. Nash	Arthur Nash, Violet K. Nash
Arthur Nash, Violet Nash	Arthur Nash, Violet K. Nash
Arthur & Violet K. Nash, Irl B. & Vesta R. Warnock	Arthur Nash, Violet K. Nash, Irl B. Warnock, Vesta R. Warnock
Anerewald	Auerswald
Auersmald	Auerswald
Auerswald	Auerswald
Augusta Areschoug	Augusta Areschoug
Aven Nelson, Elias Nelson	Aven Nelson, Elias Nelson
Axel Anderson	Axel Anderson
Axel N. Lundström	Axel N. Lundstrom
Axel Tullberg	Axel Tullberg
Messrs. Aylmer	Aylmer
Alymer Robinson	Aylmer Robinson
Aylmer	Aylmer Robinson
Aylmer Robinson	Aylmer Robinson
M. Aylmer	Aylmer Robinson
Alymer Robinson, Sinclair Robinson	Aylmer Robinson, Sinclair Robinson
Aylmer and Sinclair Robinson	Aylmer Robinson, Sinclair Robinson
Aylmer Robinson, Sinclair Robinson	Aylmer Robinson, Sinclair Robinson
Aylmer Robinson, Sinclair'	Aylmer Robinson, Sinclair Robinson
M. Aylmer, Sinclair Robinson	Aylmer Robinson, Sinclair Robinson
Dr. Ayres	Ayres
B.	B.
B. Ballantyne	B. Ballantyne
B. Boss	B. Boss
B. Burch	B. Burch
B. C. Fleroff	B. C. Flerov
B. C. Flerov	B. C. Flerov
B. C. McGregor	B. C. McGregor
B. C. Stone	B. C. Stone
B. C. Tharp	B. C. Tharp
B. C. Tharp and Fred A. Barkley	B. C. Tharp, Fred A. Barkley
B. C. Tharp, Fred A. Barkley	B. C. Tharp, Fred A. Barkley
B. E. Dahlgren	B. E. Dahlgren
B. E. LaPointe	B. E. LaPointe
B. Emery	B. Emery
B. F. Bush	B. F. Bush
B. F. D. Runk	B. F. D. Runk
B. F. Osorio Tafall	B. F. Osorio Tafall
B. Forestry	B. Forestry
B. G. L. Swamy	B. G. L. Swamy
B. H. Warnock, F. A. Barkley	B. H. Warnock, F. A. Barkley
B. Halstead	B. Halstead
B. Hollert	B. Hollert
B. J.	B. J.
B. J. Bush	B. J. Bush
B. J. Carter	B. J. Carter
B. J. J. J. R. Walrecht	B. J. J. R. Walrecht
B. J. J. R. Walrecht	B. J. J. R. Walrecht
B. K. Kaiwiaea, Minnie Reed	B. K. Kaiwiaea, Minnie Reed
Judge B. K. Kaiwiaea, Minnie Reed	B. K. Kaiwiaea, Minnie Reed
B. Karl	B. Karl
B. Kessler, N. H. Nickerson, D. Sammons	B. Kessler, N. H. Nickerson, D. Sammons
B. Kosanke, F. K. & W. A. Daily	B. Kosanke, F. K. and W. A. Daily
B. Kümmerle	B. Kummerle
B. L.	B. L.
B. L. Robinson, H. Schrenk	B. L. Robinson, H. Schrenk
B. Lachineé	B. Lachinee
B. Lindenberg, A. V. Duthie	B. Lindenberg, A. V. Duthie
B. Linvingston	B. Livingston
B. Livingson	B. Livingston
B. Livingston	B. Livingston
B. M. Davis	B. M. Davis
B. M. Davis, L. J. MacRae	B. M. Davis, L. J. MacRae
B. M Duggar	B. M. Duggar
Dr. B. Martmann	B. Martmann
B. Myers, T. Stewart	B. Myers, T. Stewart
B. O. J.	B. O. J.
B. P. Reko	B. P. Reko
B. Richter	B. Richter
B. Samiento	B. Samiento
B. Schenk	B. Schenk
B. Schroder	B. Schroder
B. Schröder	B. Schroder
Br. Schroder	B. Schroder
Br. Schröder	B. Schroder
B. Schussnig	B. Schussnig
B. Shimek	B. Shimek
B. Sladden	B. Sladden
B. Sladder	B. Sladden
B. T. Gittins	B. T. Gittins
B. T. Shaver, Josephine E. Tilden	B. T. Shaver, Josephine E. Tilden
B. v. d. Meme, A. V. Duthie	B. v. d. Meme, A. V. Duthie
B. W.	B. W.
B. W. Everman	B. W. Everman
B. Wallerstein	B. Wallerstein
