R. W. Ricker, D. S. Horning	fix2019 R. W. Ricker, D. S. Horning	1
E. Y. Dawson, David Fork	fix2019 E. Y. Dawson, David Fork	3
E. Loww, A. V. Duthie	fix2019 E. Loww, A. V. Duthie	1
Walter Kiener, Walter Kiener	fix2019 Walter Kiener, Walter Kiener	1
Henry Kekoanai, J. Newhouse	fix2019 Henry Kekoanai, J. Newhouse	1
Malia Maku, Minnie Reed	fix2019 Malia Maku, Minnie Reed	3
J. N. Rose, P. G. Russell	fix2019 J. N. Rose, P. G. Russell	1
De Alton Saunders, Wm. Trelease	fix2019 De Alton Saunders, Wm. Trelease	1
Giles W. Mead, Parry Mead, Tony Rerriera	fix2019 Giles W. Mead, Parry Mead, Tony Rerriera	1
H. K. Phinney, G. S. Phinney, W. H. Hansen	fix2019 H. K. Phinney, G. S. Phinney, W. H. Hansen	1
M. Wynne, Tim Entwisle	fix2019 M. Wynne, Tim Entwisle	1
C. H. Young, W. Spreadborough	fix2019 C. H. Young, W. Spreadborough	1
William. A. Daily, Fred Kenayer	fix2019 William. A. Daily, Fred Kenayer	1
R. W. Ricker, F. J. Scott	fix2019 R. W. Ricker, F. J. Scott	5
G. E. DuPlessius, A. V. Duthie	fix2019 G. E. DuPlessius, A. V. Duthie	1
R. L. Moe, T. Roberts	fix2019 R. L. Moe, T. Roberts	1
C. Dawes, S. E. Taylor	fix2019 C. Dawes, S. E. Taylor	1
H. K. Phinney, G. S. Phinney	fix2019 H. K. Phinney, G. S. Phinney	5
H. H. Haskins, T. C. Nelson	fix2019 H. H. Haskins, T. C. Nelson	1
R. D. Hill, N. Bannister	fix2019 R. D. Hill, N. Bannister	2
L. R. Almodovar, f. Pagan, H. Austin, Jose Gonzales, J. Irizarry, V. M. Rosado	fix2019 L. R. Almodovar, f. Pagan, H. Austin, Jose Gonzales, J. Irizarry, V. M. Rosado	1
R. W. Ricker, J. K. Lowry	fix2019 R. W. Ricker, J. K. Lowry	2
L. R. Almodovar, V. y F. Rivas	fix2019 L. R. Almodovar, V. y F. Rivas	3
Marie Neal, W. A. Setchell	fix2019 Marie Neal, W. A. Setchell	1
Luis R. Almodovar, F. Pagan, V. M. Rosado, Herbert Austin, Sheila Austin, J. Rees, Captain Frederick	fix2019 Luis R. Almodovar, F. Pagan, V. M. Rosado, Herbert Austin, Sheila Austin, J. Rees, Captain Frederick	1
Lani Jacobs, Thomas Grohman and Cyn Dartez	fix2019 Lani Jacobs, Thomas Grohman and Cyn Dartez	1
Luis R. Almodovar, V. M. Rosado, J. J. Irizarry, F. Pagán	fix2019 Luis R. Almodovar, V. M. Rosado, J. J. Irizarry, F. Pagán	1
D. Eie, A. V. Duthie	fix2019 D. Eie, A. V. Duthie	1
Thomas T. Earle, J. Tilden	fix2019 Thomas T. Earle, J. Tilden	1
H. Syphus, A. V. Duthie	fix2019 H. Syphus, A. V. Duthie	4
A. Hambly, T. Chess	fix2019 A. Hambly, T. Chess	1
Sylvia A. Earle, Elizabeth Taylor, Richie Taylor	fix2019 Sylvia A. Earle, Elizabeth Taylor, Richie Taylor	1
A. Hamel-J, G. Hamel	fix2019 A. Hamel-J, G. Hamel	1
L. C. Botha, A. V. Duthie	fix2019 L. C. Botha, A. V. Duthie	1
E. Yale Dawson, J. Domantay	fix2019 E. Yale Dawson, J. Domantay	1
J. Steyr, A. V. Duthie	fix2019 J. Steyr, A. V. Duthie	1
R. Nielsen, K. Dahl	fix2019 R. Nielsen, K. Dahl	1
W. E. Martin, R. S. Stevens	fix2019 W. E. Martin, R. S. Stevens	3
J. Feldman, G. Feldmann	fix2019 J. Feldman, G. Feldmann	1
E. Yale Dawson, Carl L. Hubbs and party	fix2019 E. Yale Dawson, Carl L. Hubbs and party	1
M. E. Malan, A. V. Duthie	fix2019 M. E. Malan, A. V. Duthie	1
Mr. Bertram, Cyril Crossland	fix2019 Mr. Bertram, Cyril Crossland	1
D. Gie, A. V. Duthie	fix2019 D. Gie, A. V. Duthie	1
G. T. Kraft, R. W. Ricker	fix2019 G. T. Kraft, R. W. Ricker	1
W. R. Taylor, Gardner	fix2019 W. R. Taylor, Gardner	1
H. Symmonds, K. Waldron	fix2019 H. Symmonds, K. Waldron	1
M. C. Marino, D. P. Santos	fix2019 M. C. Marino, D. P. Santos	1
M. Neushul, R. Vadas	fix2019 M. Neushul, R. Vadas	1
