1	#################################################################												
2	# DWC to Cspace field name mapping												
3	# being a specification of how to match DarwinCore fields to UCJEPS Cspace fields												
4	# Columns												
5	# 	A	sequence number. Only facultative.										
6	# 	B	DWC field name										
7	# 	C	Cspace fieldname										
8	# 	D	context tag (currently unused)										
9	# 	E	datatype of the element										
10	# 	F	type of check to peform										
11	# 	G	Cspace authority name (including CSID)										
12	# 	H	Remarks (ignored by the program)										
13	# 												
14	#################################################################												
15	# v0.9 jbl 12/26/18												
16	#################################################################												
17	# Darwin Core field name	Cspace collectionobject tag	context tag	data type	type of check	authority	remarks						
231		measuredBy					cspace field only						
232		minDistanceAboveSurface					cspace field only						
233		notes					cspace field only						
234		numberValue					cspace field only						
235		objectComponentInformation					cspace field only						
236		objectComponentName					cspace field only						
237		objectName					cspace field only						
238		objectNameCurrency					cspace field only						
239		objectNameLanguage					cspace field only						
240		objectNameLevel					cspace field only						
241		objectNameNote					cspace field only						
242		objectNameSystem					cspace field only						
243		objectNameType					cspace field only						
244		objectProductionDateScalar					cspace field only						
245		objectProductionDateVerbatim					cspace field only						
246		objectProductionOrganization					cspace field only						
247		objectProductionOrganizationRole					cspace field only						
248		objectProductionPeople					cspace field only						
249		objectProductionPeopleRole					cspace field only						
250		objectProductionPerson					cspace field only						
251		objectProductionPersonRole					cspace field only						
252		objectProductionPlace					cspace field only						
253		objectProductionPlaceRole					cspace field only						
254		objectProductionReason					cspace field only						
255		owner					cspace field only						
256		ownershipDateScalar					cspace field only						
257		ownershipDateVerbatim					cspace field only						
258		ownershipExchangePriceCurrency					cspace field only						
259		ownersReference					cspace field only						
260		pointRadiusSpatialFit					cspace field only						
261		postToPublic					cspace field only						
262		publishToList					cspace field only						
263		qualifier					cspace field only						
264		recordStatus					cspace field only						
265		reference					cspace field only						
266		referenceNote					cspace field only						
267		refName					cspace field only						
268		refPage					cspace field only						
269		requestDate					cspace field only						
270		responsibleDepartment					cspace field only						
271		style					cspace field only						
272		taxonomicIdentHybridName					cspace field only						
273		taxonomicIdentHybridParent					cspace field only						
274		taxonomicIdentHybridParentQualifier					cspace field only						
275		taxonomicRange					cspace field only						
276		technicalAttribute					cspace field only						
277		technicalAttributeMeasurement					cspace field only						
278		technicalAttributeMeasurementUnit					cspace field only						
279		technique					cspace field only						
280		techniqueType					cspace field only						
281		tenantId					cspace field only						
282		title					cspace field only						
283		titleLanguage					cspace field only						
284		titleTranslation					cspace field only						
285		titleTranslationLanguage					cspace field only						
286		titleType					cspace field only						
287		typeSpecimenAssertionBy					cspace field only						
288		typeSpecimenBasionym					cspace field only						
289		typeSpecimenNotes					cspace field only						
290		typeSpecimenReference					cspace field only						
291		typeSpecimenRefPage					cspace field only						
292		updatedAt					core						
293		updatedBy					core						
294		uri					core						
295		usage					cspace field only						
296		usageNote					cspace field only						
297		usedIn					cspace field only						
298		useNotes					cspace field only						
299		useType					cspace field only						
300		value					cspace field only						
